N,turnout,votes,district
488,310,132,18517
334,206,141,18518
74,44,11,18519
126,79,37,18520
443,284,154,18521
1202,654,316,18522
912,530,287,18523
148,95,52,18524
435,246,108,18525
605,333,164,18526
248,166,57,18527
330,208,111,18528
146,102,34,18529
1667,837,338,18530
809,335,119,18531
591,384,209,18532
401,227,98,18533
1446,655,318,18534
372,238,119,18535
1584,763,348,18536
84,43,18,18537
1157,538,210,18538
175,65,39,18539
892,521,272,18540
175,126,70,18541
2536,1240,371,18542
938,457,133,18543
83,44,14,18544
927,395,175,18545
62,34,14,18546
512,263,112,18547
157,81,45,18548
85,61,52,18549
990,493,163,18550
574,407,138,18551
1229,593,204,18552
696,402,171,18553
742,378,137,18554
49,39,19,18555
1350,869,190,18556
280,186,73,18557
2160,1187,408,18558
365,231,111,18559
1276,608,247,18560
393,208,104,18561
314,160,58,18562
102,77,22,18563
186,120,57,18564
932,455,252,18565
790,431,195,18566
154,107,71,18567
274,168,64,18568
934,530,230,18569
1921,945,333,18570
527,283,140,18571
1153,497,223,18572
1373,645,311,18573
1962,1146,405,18574
599,264,97,18575
1764,990,310,18576
246,156,67,18577
450,221,83,18578
866,363,127,18579
788,436,211,18580
706,367,204,18581
1022,416,144,18582
1969,810,302,18583
2049,1194,437,18584
335,184,106,18585
1791,784,287,18586
149,92,36,18587
2002,910,400,18588
681,330,194,18589
371,207,96,18590
947,553,309,18591
285,147,42,18592
746,463,222,18593
844,417,160,18594
794,471,154,18595
2475,1119,360,18596
148,106,38,18597
180,125,58,18598
615,308,146,18599
1055,564,324,18600
93,44,21,18601
62,46,28,18602
2182,927,294,18603
504,271,119,18604
1882,1031,409,18605
223,123,51,18606
613,347,174,18607
107,63,40,18608
1021,472,268,18609
1201,609,235,18610
1612,842,427,18611
173,94,68,18612
1091,582,212,18613
140,106,35,18614
2390,1452,460,18615
417,222,89,18616
679,426,244,18617
1331,699,312,18618
277,162,86,18619
2453,1327,550,18620
832,431,178,18621
816,442,176,18622
1714,813,390,18623
2011,1012,374,18624
214,161,80,18625
593,375,165,18626
123,67,44,18627
783,461,248,18628
57,55,37,18629
119,72,27,18630
1426,604,199,18631
647,448,228,18632
1327,822,328,18633
2804,1570,622,18634
1921,1005,395,18635
2559,1261,432,18636
211,165,99,18637
282,181,76,18638
121,96,55,18639
2398,1024,292,18640
281,167,81,18641
299,108,57,18642
123,62,24,18643
174,118,64,18644
82,79,44,18645
2114,1115,336,18646
211,131,57,18647
1038,598,182,18648
603,294,124,18649
1014,602,340,18650
1279,869,249,18651
868,435,243,18652
66,10,5,18653
2265,1069,348,18654
1472,729,234,18655
2509,1328,479,18656
717,322,111,18657
1164,752,376,18658
2723,1234,402,18659
248,133,52,18660
292,141,69,18661
729,370,158,18662
491,328,120,18663
477,259,143,18664
1752,641,235,18665
957,506,190,18666
2780,1289,586,18667
1990,1156,296,18668
1913,842,354,18669
454,246,115,18670
240,155,82,18671
1621,731,336,18672
915,482,193,18673
2141,1305,316,18674
983,505,180,18675
836,418,235,18676
1730,1032,268,18677
458,230,117,18678
460,271,111,18679
694,382,176,18680
760,394,187,18681
405,260,100,18682
147,105,41,18683
294,207,77,18684
764,433,168,18685
551,279,140,18686
67,51,35,18687
133,86,22,18688
146,85,52,18689
1187,613,223,18690
2200,944,306,18691
47,31,6,18692
162,75,42,18693
582,350,136,18694
966,500,192,18695
257,178,91,18696
2085,1082,426,18697
1061,426,236,18698
131,81,20,18699
1142,668,273,18700
2911,1532,446,18701
35,35,11,18702
169,128,50,18703
827,442,110,18704
152,94,41,18705
1021,592,371,18706
1472,654,196,18707
1845,858,289,18708
2258,1154,476,18709
511,313,140,18710
629,355,176,18711
1092,570,200,18712
332,203,110,18713
1319,632,283,18714
68,67,21,18715
574,347,164,18716
151,102,57,18717
161,119,55,18718
1168,599,192,18719
632,398,177,18720
127,74,17,18721
369,265,151,18722
104,77,43,18723
108,70,20,18724
1712,638,231,18725
415,261,116,18726
2337,1023,381,18727
392,231,98,18728
125,116,66,18729
205,91,36,18730
297,168,54,18731
2978,1094,461,18732
2457,1193,347,18733
526,299,157,18734
1986,923,263,18735
2393,1031,347,18736
2609,1297,440,18737
761,344,98,18738
2372,784,296,18739
1771,1013,266,18740
575,273,95,18741
140,60,15,18742
2296,1154,341,18743
2387,1263,317,18744
1743,710,222,18745
600,343,132,18746
1066,575,187,18747
680,334,198,18748
333,159,83,18749
2374,1172,328,18750
141,82,42,18751
108,78,49,18752
2070,1083,317,18753
1218,606,202,18754
1312,618,221,18755
86,66,37,18756
2375,1195,356,18757
942,467,181,18758
2879,1388,413,18759
2596,1207,320,18760
2232,926,331,18761
838,424,163,18762
491,283,70,18763
2215,1175,384,18764
1293,807,200,18765
1066,557,191,18766
80,49,21,18767
1983,977,375,18768
473,246,112,18769
391,241,135,18770
2868,1342,520,18771
2080,1212,335,18772
156,82,40,18773
844,390,165,18774
2299,997,395,18775
2266,1005,340,18776
679,396,136,18777
835,482,134,18778
1719,1015,355,18779
163,86,34,18780
1333,629,332,18781
1966,1062,339,18782
2108,1118,331,18783
1935,1068,388,18784
820,435,222,18785
144,143,41,18786
166,114,59,18787
2081,1207,377,18788
341,257,207,18789
107,105,27,18790
583,252,105,18791
2042,1227,393,18792
1498,708,213,18793
1561,684,218,18794
2598,1402,380,18795
446,265,114,18796
261,149,57,18797
819,455,185,18798
109,69,32,18799
182,124,48,18800
368,246,93,18801
771,519,267,18802
1461,894,549,18803
1781,913,300,18804
1462,871,371,18805
879,489,137,18806
717,388,155,18807
664,347,148,18808
2075,1045,291,18809
2830,1161,416,18810
103,75,16,18811
673,422,160,18812
1429,692,250,18813
129,76,30,18814
1727,591,207,18815
2405,1175,336,18816
2322,1283,377,18817
192,150,77,18818
252,136,80,18819
2830,1330,419,18820
737,384,207,18821
1195,732,365,18822
163,86,39,18823
355,240,132,18824
2111,1121,313,18825
674,368,196,18826
178,83,48,18827
2620,1367,407,18828
546,283,128,18829
2117,1128,307,18830
1974,702,235,18831
2366,1233,351,18832
2152,1230,337,18833
507,264,116,18834
1116,568,242,18835
47,37,7,18836
781,400,151,18837
762,407,178,18838
75,42,21,18839
316,195,84,18840
2361,1153,333,18841
85,68,16,18842
697,410,142,18843
1756,1039,304,18844
134,83,34,18845
1299,621,215,18846
551,249,105,18847
2019,1005,262,18848
2469,1404,374,18849
1997,1089,302,18850
116,83,30,18851
2420,1256,389,18852
85,76,43,18853
1299,652,199,18854
2318,1275,397,18855
733,449,180,18856
2564,1351,409,18857
2211,1073,307,18858
544,302,140,18859
2664,1345,381,18860
414,263,111,18861
846,516,177,18862
769,411,210,18863
138,96,41,18864
2131,1049,268,18865
2220,855,272,18866
865,451,202,18867
93,54,28,18868
1998,1079,328,18869
931,541,224,18870
542,365,173,18871
2361,903,399,18872
2156,1152,376,18873
208,131,50,18874
84,45,18,18875
86,60,31,18876
888,489,186,18877
1884,825,323,18878
2136,1150,319,18879
1686,694,310,18880
1956,922,271,18881
386,200,78,18882
784,499,219,18883
120,77,43,18884
107,55,33,18885
1692,919,294,18886
947,352,138,18887
816,456,207,18888
176,115,63,18889
133,77,31,18890
2575,1305,568,18891
1275,741,339,18892
741,410,237,18893
214,124,56,18894
176,171,109,18895
607,329,174,18896
1263,541,225,18897
152,88,30,18898
2879,1505,430,18899
1112,573,208,18900
1503,586,214,18901
1433,734,228,18902
1771,1082,335,18903
2514,1318,374,18904
2040,872,300,18905
1898,1008,338,18906
197,133,39,18907
2501,1013,359,18908
128,76,21,18909
609,341,130,18910
1292,704,380,18911
750,421,190,18912
1113,583,253,18913
2574,1245,427,18914
969,381,154,18915
272,130,56,18916
1007,521,214,18917
2487,1409,572,18918
1709,697,248,18919
409,258,112,18920
525,305,126,18921
1709,995,360,18922
2125,999,437,18923
913,485,146,18924
1294,751,215,18925
1109,555,242,18926
2444,1282,360,18927
1068,491,245,18928
2571,1175,370,18929
412,272,69,18930
914,463,208,18931
2016,1017,330,18932
879,450,185,18933
282,146,69,18934
643,364,129,18935
1954,811,261,18936
172,95,34,18937
735,389,117,18938
1991,1002,301,18939
377,240,97,18940
673,321,99,18941
236,131,39,18942
118,79,54,18943
651,348,138,18944
955,498,194,18945
337,160,64,18946
222,144,44,18947
1540,763,333,18948
623,323,170,18949
151,57,44,18950
1215,533,233,18951
179,112,68,18952
214,108,57,18953
328,248,94,18954
128,110,62,18955
1164,623,295,18956
732,382,189,18957
928,480,243,18958
1164,655,343,18959
1433,766,358,18960
621,299,134,18961
1087,577,246,18962
1082,475,238,18963
802,347,124,18964
1228,584,181,18965
1018,581,221,18966
241,124,39,18967
2071,1104,285,18968
631,233,76,18969
527,264,114,18970
1083,691,303,18971
83,44,10,18972
149,99,36,18973
98,70,16,18974
576,370,172,18975
65,46,23,18976
2124,884,257,18977
62,49,26,18978
1744,775,326,18979
1725,905,300,18980
307,153,56,18981
82,59,29,18982
192,81,32,18983
162,110,74,18984
496,286,125,18985
131,90,19,18986
1231,580,303,18987
1192,514,239,18988
266,180,90,18989
761,320,110,18990
184,124,59,18991
331,242,123,18992
2401,1079,449,18993
140,73,30,18994
2245,1240,450,18995
509,305,114,18996
2106,716,244,18997
479,269,96,18998
2366,1277,507,18999
2084,1314,385,19000
82,39,18,19001
184,91,39,19002
191,101,55,19003
2743,1467,450,19004
285,159,53,19005
1266,626,268,19006
1023,633,314,19007
1197,656,244,19008
108,54,21,19009
909,434,253,19010
1714,718,226,19011
637,358,160,19012
984,639,238,19013
48,34,18,19014
418,226,89,19015
417,248,109,19016
2793,1303,389,19017
1683,669,188,19018
2467,1178,344,19019
192,108,46,19020
864,551,256,19021
2452,1194,377,19022
1517,685,222,19023
2153,849,284,19024
1863,868,266,19025
754,279,96,19026
1553,780,230,19027
2588,1305,322,19028
472,257,120,19029
2095,690,198,19030
2351,1264,517,19031
294,164,68,19032
1771,1047,299,19033
2246,997,341,19034
2662,1275,362,19035
2027,927,315,19036
338,132,47,19037
1012,498,221,19038
2847,1009,382,19039
2441,1074,453,19040
210,123,68,19041
2836,1684,452,19042
577,329,149,19043
249,135,48,19044
596,367,142,19045
167,95,38,19046
1994,932,304,19047
1690,870,256,19048
395,241,111,19049
2214,1075,306,19050
1620,859,292,19051
2596,1609,466,19052
282,180,68,19053
743,477,259,19054
2893,1196,360,19055
2717,852,269,19056
1067,525,249,19057
499,217,92,19058
2870,1406,515,19059
1170,458,164,19060
1770,832,257,19061
1627,863,230,19062
1829,745,214,19063
1935,1012,325,19064
457,311,172,19065
1638,1065,393,19066
1522,617,242,19067
1551,867,247,19068
480,283,152,19069
914,521,207,19070
1789,941,351,19071
184,119,60,19072
877,435,246,19073
2241,1441,391,19074
161,105,62,19075
494,303,148,19076
2021,790,265,19077
1950,1186,362,19078
517,324,107,19079
2167,1119,301,19080
1116,556,226,19081
987,438,200,19082
464,263,137,19083
988,574,267,19084
1638,810,222,19085
365,210,142,19086
2114,968,383,19087
1188,534,227,19088
1314,745,337,19089
1111,580,264,19090
1122,530,231,19091
1210,535,240,19092
1546,771,356,19093
2229,1091,312,19094
78,59,27,19095
1280,659,253,19096
430,247,115,19097
2346,1134,351,19098
1820,881,322,19099
2308,1151,311,19100
1986,1017,344,19101
856,444,234,19102
393,238,115,19103
260,145,75,19104
1645,852,261,19105
164,120,50,19106
1712,981,293,19107
2391,992,464,19108
201,183,61,19109
1421,764,282,19110
238,125,61,19111
486,301,126,19112
644,317,149,19113
89,55,20,19114
500,314,147,19115
2278,1189,340,19116
2470,924,355,19117
543,310,157,19118
658,324,115,19119
148,93,46,19120
2077,1148,375,19121
1932,1058,358,19122
2285,1074,368,19123
486,301,166,19124
350,225,98,19125
191,123,42,19126
608,371,146,19127
2417,1272,382,19128
179,106,37,19129
1663,891,395,19130
184,116,31,19131
2358,1125,325,19132
1987,756,278,19133
837,453,195,19134
714,387,170,19135
138,112,58,19136
121,89,28,19137
285,162,52,19138
166,105,42,19139
778,376,145,19140
111,72,27,19141
209,119,51,19142
2013,920,289,19143
1719,855,264,19144
1496,943,252,19145
379,226,74,19146
2229,1306,394,19147
327,171,89,19148
100,65,23,19149
1680,769,229,19150
354,331,112,19151
173,128,46,19152
313,242,104,19153
2080,1260,326,19154
492,279,112,19155
247,162,50,19156
162,87,48,19157
127,62,21,19158
94,62,32,19159
584,357,151,19160
1153,768,266,19161
130,74,48,19162
323,320,145,19163
57,40,12,19164
458,232,123,19165
783,444,186,19166
2611,1134,357,19167
178,96,36,19168
477,302,130,19169
148,74,29,19170
1263,649,240,19171
60,42,19,19172
2743,1437,385,19173
1043,540,219,19174
43,25,8,19175
2681,1184,410,19176
499,302,123,19177
161,83,32,19178
307,161,49,19179
2891,1507,485,19180
1018,542,230,19181
560,366,159,19182
822,385,147,19183
621,413,191,19184
589,360,170,19185
1815,938,407,19186
182,149,67,19187
497,274,114,19188
356,236,89,19189
945,445,200,19190
90,66,27,19191
1020,641,205,19192
268,172,112,19193
1638,978,239,19194
1381,882,430,19195
1872,1070,375,19196
141,80,43,19197
106,37,31,19198
2456,1484,587,19199
2316,1288,360,19200
2539,1468,578,19201
430,188,78,19202
2218,1216,385,19203
2423,1082,401,19204
689,349,148,19205
2911,1235,470,19206
177,108,35,19207
435,168,70,19208
2420,1062,306,19209
162,100,34,19210
1609,920,434,19211
1058,637,354,19212
470,269,124,19213
550,318,109,19214
475,251,111,19215
122,96,33,19216
193,171,134,19217
269,131,57,19218
1971,1097,549,19219
2426,1509,385,19220
2747,1007,332,19221
988,490,210,19222
171,129,93,19223
187,126,61,19224
395,231,63,19225
724,470,232,19226
1013,565,217,19227
135,91,48,19228
79,53,26,19229
721,415,155,19230
1233,497,215,19231
231,160,59,19232
983,619,305,19233
638,389,134,19234
798,405,162,19235
887,488,226,19236
1074,523,191,19237
1022,507,228,19238
2419,1236,522,19239
361,199,82,19240
138,81,37,19241
88,68,23,19242
1720,802,272,19243
2806,1630,442,19244
766,494,227,19245
145,77,28,19246
568,329,183,19247
1511,634,214,19248
1530,664,208,19249
560,305,148,19250
1722,866,355,19251
849,364,136,19252
1738,988,320,19253
798,413,112,19254
1036,564,273,19255
373,202,83,19256
86,67,29,19257
2339,800,217,19258
551,416,248,19259
142,81,42,19260
551,293,103,19261
1563,686,275,19262
1555,687,210,19263
2517,1025,337,19264
1110,549,284,19265
331,138,79,19266
1006,551,156,19267
232,114,62,19268
452,198,78,19269
1849,915,267,19270
559,324,142,19271
2298,1262,539,19272
414,329,115,19273
1289,785,407,19274
521,273,123,19275
526,217,100,19276
1729,784,259,19277
433,270,139,19278
1673,1633,601,19279
1517,707,285,19280
35,27,11,19281
1681,945,259,19282
2244,1107,554,19283
550,313,161,19284
67,41,20,19285
335,231,158,19286
197,114,61,19287
214,105,39,19288
1159,608,250,19289
2286,1023,305,19290
2306,1302,516,19291
736,387,147,19292
357,194,83,19293
1460,757,304,19294
122,82,47,19295
2300,960,312,19296
374,223,91,19297
2312,989,323,19298
599,334,139,19299
481,346,192,19300
2196,1132,448,19301
1154,552,230,19302
129,91,45,19303
100,66,21,19304
338,219,81,19305
407,271,156,19306
474,299,163,19307
566,331,119,19308
811,452,227,19309
529,333,132,19310
2572,1313,364,19311
220,152,84,19312
772,511,173,19313
698,485,256,19314
951,562,227,19315
372,203,82,19316
106,56,24,19317
313,193,83,19318
2329,1203,365,19319
1816,951,311,19320
2030,1235,383,19321
813,353,165,19322
342,186,59,19323
437,217,98,19324
2751,1595,470,19325
908,413,194,19326
614,289,131,19327
262,172,67,19328
890,498,196,19329
2785,1118,344,19330
1630,725,268,19331
787,529,304,19332
1829,686,216,19333
53,39,15,19334
1590,669,171,19335
1851,1085,367,19336
2093,1144,336,19337
2644,722,238,19338
2302,1202,346,19339
2096,823,312,19340
2247,1114,340,19341
2088,1073,287,19342
1860,925,250,19343
2002,1133,335,19344
1613,585,211,19345
1958,935,282,19346
802,370,127,19347
1111,489,160,19348
601,289,137,19349
1556,835,219,19350
2007,1100,292,19351
293,221,53,19352
607,319,96,19353
1210,481,199,19354
296,178,78,19355
459,310,153,19356
94,70,20,19357
2065,1158,489,19358
86,48,16,19359
1158,453,157,19360
288,156,40,19361
2280,1191,346,19362
65,51,21,19363
2125,1062,325,19364
200,135,73,19365
127,106,47,19366
1041,561,256,19367
2193,1184,301,19368
2595,1239,336,19369
1082,602,313,19370
2418,1288,530,19371
1287,665,326,19372
595,346,191,19373
795,429,233,19374
2370,1286,348,19375
483,245,86,19376
432,235,132,19377
230,149,71,19378
195,141,65,19379
923,506,226,19380
2299,1068,508,19381
1198,424,129,19382
582,346,135,19383
557,262,134,19384
363,186,82,19385
205,123,39,19386
688,356,151,19387
138,75,39,19388
1090,585,180,19389
41,31,25,19390
2612,1592,408,19391
139,73,32,19392
959,356,158,19393
236,131,31,19394
181,111,62,19395
2240,1195,442,19396
2122,1007,396,19397
2831,1719,570,19398
1511,819,389,19399
637,301,120,19400
1151,633,277,19401
764,528,246,19402
636,339,125,19403
1623,899,394,19404
288,191,73,19405
315,221,120,19406
2325,1497,472,19407
2440,1312,403,19408
1928,1148,329,19409
692,370,177,19410
1603,678,242,19411
876,467,170,19412
218,131,55,19413
255,145,106,19414
1253,629,211,19415
1570,891,404,19416
83,49,27,19417
86,80,57,19418
71,44,18,19419
604,342,149,19420
42,38,24,19421
556,368,174,19422
986,579,304,19423
2791,1561,555,19424
1718,992,287,19425
2775,1408,476,19426
2223,1400,332,19427
216,118,51,19428
448,266,120,19429
68,39,10,19430
187,174,44,19431
2280,1122,344,19432
1090,612,205,19433
819,412,165,19434
83,55,12,19435
392,191,68,19436
1206,623,223,19437
785,410,126,19438
619,239,101,19439
111,110,46,19440
120,120,53,19441
377,222,105,19442
1170,577,259,19443
190,119,32,19444
2827,1483,565,19445
146,96,62,19446
402,266,103,19447
205,118,53,19448
721,459,253,19449
2578,1091,336,19450
2505,1325,406,19451
1987,1085,289,19452
2221,1227,334,19453
2410,1282,394,19454
1481,747,206,19455
456,243,105,19456
71,41,18,19457
814,461,224,19458
892,497,184,19459
1148,577,192,19460
946,488,199,19461
766,462,258,19462
150,83,37,19463
251,219,107,19464
1030,593,278,19465
373,221,91,19466
94,71,40,19467
1708,836,275,19468
2847,1208,381,19469
85,49,26,19470
211,132,61,19471
126,80,13,19472
173,115,37,19473
339,189,77,19474
2795,1286,398,19475
2090,987,269,19476
50,38,23,19477
2347,1169,377,19478
703,408,153,19479
265,183,83,19480
271,166,70,19481
708,419,125,19482
199,128,56,19483
840,479,205,19484
96,66,20,19485
105,64,34,19486
265,153,53,19487
305,167,92,19488
741,395,202,19489
2556,1234,472,19490
297,161,56,19491
207,94,41,19492
420,121,66,19493
2327,988,310,19494
124,87,21,19495
460,210,96,19496
733,386,156,19497
611,331,172,19498
1755,1029,592,19499
2615,1057,446,19500
422,146,70,19501
1357,703,253,19502
152,146,55,19503
2771,947,341,19504
219,136,49,19505
863,507,208,19506
111,70,24,19507
1323,661,335,19508
1478,661,183,19509
1449,702,221,19510
2088,758,262,19511
310,167,89,19512
2437,1044,297,19513
2390,1224,436,19514
1414,632,223,19515
2627,1078,366,19516
1771,737,238,19517
1255,1160,476,19518
213,117,36,19519
2640,1137,382,19520
1632,707,230,19521
1759,986,304,19522
1274,554,179,19523
701,403,184,19524
1443,743,356,19525
2161,1308,451,19526
2028,1283,352,19527
2570,1288,466,19528
758,397,175,19529
581,302,99,19530
2143,1147,380,19531
2037,1167,397,19532
1983,1070,302,19533
97,50,29,19534
1860,1063,297,19535
1940,1093,331,19536
683,341,151,19537
2105,1058,355,19538
1872,755,256,19539
1408,636,343,19540
2566,1329,388,19541
1770,649,201,19542
1096,713,558,19543
580,367,170,19544
2046,1063,310,19545
1576,916,246,19546
2225,1144,341,19547
2721,1457,460,19548
2146,1076,323,19549
420,235,74,19550
2241,1028,335,19551
497,228,111,19552
2057,1023,276,19553
1476,628,217,19554
2154,1158,301,19555
362,250,85,19556
2160,1132,325,19557
615,345,141,19558
62,40,15,19559
2129,908,261,19560
1091,579,293,19561
1458,1006,511,19562
1114,622,290,19563
218,179,117,19564
1131,997,754,19565
1770,1165,578,19566
790,553,317,19567
1103,894,607,19568
1499,1176,738,19569
207,190,81,19570
273,240,129,19571
1177,662,269,19572
1607,1059,519,19573
972,640,372,19574
87,75,38,19575
336,325,226,19576
2014,1457,842,19577
212,181,111,19578
705,654,440,19579
1299,780,365,19580
988,547,241,19581
146,114,60,19582
1204,935,438,19583
1103,757,373,19584
98,72,43,19585
189,167,94,19586
136,136,97,19587
83,75,54,19588
68,56,42,19589
118,109,73,19590
88,84,47,19591
285,232,142,19592
112,98,42,19593
1757,1258,813,19594
665,639,405,19595
1435,1118,560,19596
905,650,271,19597
127,93,67,19598
163,143,93,19599
317,232,148,19600
193,184,135,19601
239,224,181,19602
768,643,476,19603
2905,2595,2229,19604
178,142,109,19605
283,276,265,19606
892,598,264,19607
2476,1585,989,19608
2651,2248,1226,19609
2262,2098,1268,19610
2112,1723,1120,19611
2927,2306,1727,19612
2803,1946,1381,19613
2756,2267,1421,19614
234,208,153,19615
2389,1781,1172,19616
2139,1686,1184,19617
1458,843,247,19618
2501,2225,1523,19619
1725,1235,634,19620
2745,2049,1452,19621
1461,830,315,19622
2080,1692,720,19623
2255,1832,1389,19624
2277,1876,1220,19625
1211,798,320,19626
354,272,155,19627
1988,1554,892,19628
1727,1102,451,19629
317,313,134,19630
1028,728,296,19631
2208,1849,1120,19632
1070,839,577,19633
358,284,214,19634
1660,1146,610,19635
569,373,176,19636
2051,1206,513,19637
1814,1502,1052,19638
513,461,351,19639
2101,1850,1657,19640
1168,1030,788,19641
2386,1689,1010,19642
2320,1546,662,19643
1540,1405,1110,19644
1698,1104,494,19645
1145,959,477,19646
589,409,218,19647
1420,924,482,19648
1969,1330,553,19649
2312,1686,1114,19650
1605,1435,889,19651
2443,1709,760,19652
2006,1243,583,19653
1406,971,395,19654
528,368,213,19655
1581,953,362,19656
2269,1570,590,19657
1011,830,586,19658
1142,718,376,19659
2129,1516,634,19660
412,372,242,19661
652,502,218,19662
898,568,224,19663
429,268,111,19664
1924,1716,996,19665
2457,1581,841,19666
2432,2169,1124,19667
1599,1293,854,19668
1756,1413,923,19669
2188,1094,391,19670
2560,1527,550,19671
1877,1593,1002,19672
2455,1530,454,19673
1549,918,401,19674
1885,1441,826,19675
2224,1724,1189,19676
1102,868,513,19677
292,186,78,19678
2040,1636,1127,19679
254,249,171,19680
2402,1456,900,19681
1549,1275,699,19682
2302,1461,887,19683
327,198,63,19684
1351,849,345,19685
1335,1086,710,19686
2080,1526,752,19687
3018,2679,1456,19688
344,333,184,19689
1697,996,425,19690
2316,1658,1151,19691
590,453,213,19692
1996,1322,485,19693
2528,1856,1041,19694
374,265,113,19695
2294,1510,837,19696
726,582,332,19697
2030,1657,982,19698
268,226,148,19699
2254,1723,1170,19700
1935,1181,588,19701
413,362,278,19702
348,238,88,19703
2256,2051,1447,19704
561,419,342,19705
1712,1228,629,19706
2385,2059,1471,19707
1144,838,489,19708
2105,1238,523,19709
1946,1416,857,19710
1714,1005,386,19711
1370,1215,768,19712
449,342,235,19713
2506,1510,663,19714
1986,1384,606,19715
2297,1495,550,19716
2653,1699,450,19717
1531,1144,675,19718
2517,1539,635,19719
1657,1259,772,19720
971,714,492,19721
2035,1501,1046,19722
868,630,290,19723
2262,1526,639,19724
567,486,425,19725
3236,1918,739,19726
1168,998,576,19727
1813,1319,585,19728
3366,3098,1766,19729
2088,1676,835,19730
2134,1933,1301,19731
2173,1486,599,19732
880,724,630,19733
290,249,209,19734
1375,1086,782,19735
1186,857,743,19736
1473,885,410,19737
634,467,284,19738
1593,1007,421,19739
257,236,165,19740
87,84,57,19741
1303,720,283,19742
471,331,149,19743
1592,1334,905,19744
905,626,283,19745
358,286,189,19746
2148,1335,503,19747
2126,1394,769,19748
2019,1531,724,19749
1273,1108,841,19750
2218,1848,1425,19751
1242,1020,680,19752
2251,1360,437,19753
1415,1289,919,19754
2298,1223,489,19755
957,647,298,19756
2415,1181,465,19757
1841,1248,619,19758
424,347,198,19759
1036,821,518,19760
2061,1302,659,19761
2566,2146,1830,19762
1675,1563,1185,19763
1532,1287,1012,19764
1022,895,661,19765
1635,1319,794,19766
2509,1591,685,19767
1699,1138,444,19768
2054,1474,738,19769
1602,1005,370,19770
2646,1821,1025,19771
831,634,443,19772
406,316,177,19773
1756,1159,395,19774
176,162,117,19775
2169,1565,975,19776
146,142,111,19777
1039,874,608,19778
1361,1110,738,19779
2228,1771,1221,19780
1900,1582,1065,19781
1729,1170,458,19782
1559,903,376,19783
2861,1726,618,19784
1310,795,326,19785
2164,1820,1407,19786
2220,1408,501,19787
2127,1197,555,19788
1357,1209,947,19789
2036,1642,1224,19790
2235,1720,1077,19791
241,152,66,19792
1020,798,566,19793
957,839,604,19794
1579,1422,982,19795
278,258,192,19796
1154,726,236,19797
1094,819,568,19798
1280,867,377,19799
1057,724,304,19800
143,141,110,19801
1226,694,302,19802
2361,1596,872,19803
1504,1016,545,19804
2524,1994,1310,19805
1134,713,322,19806
1671,997,423,19807
1171,702,325,19808
2486,1571,518,19809
1433,933,420,19810
1089,1075,528,19811
2115,1341,512,19812
2608,1744,1151,19813
201,170,139,19814
1261,827,395,19815
277,257,192,19816
2753,1440,816,19817
2066,1362,609,19818
2641,1819,658,19819
2531,1459,730,19820
1628,1176,484,19821
792,565,211,19822
485,399,350,19823
1115,810,332,19824
2057,1379,918,19825
1242,1008,715,19826
2113,1417,657,19827
1635,1225,805,19828
1927,1170,662,19829
1118,880,509,19830
1972,1280,582,19831
229,157,108,19832
2955,1612,698,19833
1584,955,364,19834
1521,1144,678,19835
1981,1305,717,19836
1601,1484,931,19837
559,443,321,19838
2025,1406,622,19839
2527,1720,952,19840
1147,844,675,19841
1583,1113,638,19842
1114,1005,702,19843
1439,1289,654,19844
360,265,133,19845
406,360,310,19846
2270,1669,1007,19847
1792,1745,1017,19848
1864,1514,1040,19849
477,453,358,19850
435,318,209,19851
298,263,207,19852
872,688,517,19853
1703,1012,443,19854
1956,1261,632,19855
2125,1449,654,19856
1647,1133,665,19857
1858,1218,435,19858
1519,855,362,19859
2139,1025,581,19860
2126,1569,605,19861
2019,1297,367,19862
1947,1012,490,19863
1225,791,405,19864
2753,1694,939,19865
1672,1242,573,19866
3240,1881,570,19867
2538,1560,529,19868
2165,1431,585,19869
2661,1854,1095,19870
1907,1275,641,19871
2344,1630,942,19872
1011,716,337,19873
2203,1463,501,19874
1403,1063,741,19875
1405,1242,716,19876
1490,1075,649,19877
474,380,245,19878
384,317,139,19879
2388,1947,1343,19880
807,668,394,19881
2509,1733,1065,19882
106,96,46,19883
1882,1181,438,19884
1291,1103,747,19885
411,332,224,19886
1998,1475,1015,19887
1105,972,685,19888
2724,1594,549,19889
191,167,116,19890
2062,1944,1086,19891
2915,1487,581,19892
178,140,47,19893
902,653,372,19894
2831,1636,903,19895
433,335,250,19896
885,747,541,19897
1230,977,674,19898
983,654,451,19899
1059,687,345,19900
1312,973,467,19901
1420,966,375,19902
900,577,264,19903
1242,1086,848,19904
2038,1270,498,19905
1946,1195,582,19906
2110,1414,587,19907
1244,992,653,19908
1735,1089,516,19909
1278,968,452,19910
82,82,58,19911
1951,1477,743,19912
666,430,204,19913
323,316,107,19914
1063,699,290,19915
155,148,98,19916
386,265,113,19917
438,360,235,19918
2383,2169,1442,19919
1442,805,355,19920
934,733,510,19921
108,106,99,19922
2107,1517,847,19923
2112,1301,846,19924
2037,1176,522,19925
418,355,298,19926
2146,1488,571,19927
104,102,84,19928
1106,675,280,19929
554,473,397,19930
514,417,211,19931
1326,1095,694,19932
2207,1670,1381,19933
2406,1667,637,19934
838,786,547,19935
2401,1753,866,19936
2178,1426,865,19937
150,135,78,19938
